Variable,Layer,Head,TokenOrigenIdx,TokenDestinoIdx,TokenOrigen,TokenDestino,Efecto_ASCA,Importancia_ASCA
356,1,6,5,4,Token 5,Token 4,0.161352608292344,0.260346642027425
357,1,6,5,5,Token 5,Token 5,0.0328716486772306,0.0108054528675928
358,1,6,5,6,Token 5,Token 6,-0.197532859848505,0.390192307199289
359,1,6,5,7,Token 5,.,0.0441133575771454,0.0194598831672909
360,1,6,5,8,Token 5,[SEP],0.21695397773432,0.470690284547439
361,1,6,6,1,Token 6,[CLS],-0.395722034617753,1.56595928682014
362,1,6,6,2,Token 6,Token 2,-0.107099797273152,0.114703665759503
363,1,6,6,3,Token 6,Token 3,0.279285973839746,0.780006551836152
364,1,6,6,4,Token 6,Token 4,0.306271057786676,0.938019608377697
365,1,6,6,5,Token 6,Token 5,0.25540010160785,0.652292119013
366,1,6,6,6,Token 6,Token 6,-0.410302926448473,1.68348491452181
367,1,6,6,7,Token 6,.,0.131961525458973,0.174138442014592
368,1,6,6,8,Token 6,[SEP],0.21488604875119,0.461760139478986
